         pointing  group        RA       Dec  skip        SN               filename       field detname  tilenumber
          477.D.a    477 214.32529   6.10000     0       NaN           477.D.a.json        477D     NaN        <NA>
          477.E.a    477 217.42529   3.00000     0       NaN           477.E.a.json        477E     NaN        <NA>
          477.F.a    477 217.42529   6.10000     0       NaN           477.F.a.json        477F     NaN        <NA>
          494.A.a    494 326.17093   3.41856     0       NaN           494.A.a.json        494A     NaN        <NA>
          494.B.a    494 328.22209   6.51741     0       NaN           494.B.a.json        494B     NaN        <NA>
          494.C.a    494 330.78058   3.01870     0       NaN           494.C.a.json        494C     NaN        <NA>
          494.D.a    494 331.33173   6.11756     0       NaN           494.D.a.json        494D     NaN        <NA>
          494.E.a    494 334.18790   0.28310     0       NaN           494.E.a.json        494E     NaN        <NA>
   494.F.2021aabp    494 346.94317   9.25994     0  2021aabp    494.F.2021aabp.json    2021aabp     NaN        <NA>
          494.F.a    494 334.44153   6.11756     1       NaN           494.F.a.json        494F     NaN        <NA>
          523.C.a    523 173.89575   8.61309     0       NaN           523.C.a.json        523C     NaN        <NA>
          523.D.a    523 173.24314  13.48619     0       NaN           523.D.a.json        523D     NaN        <NA>
          525.A.a    525 186.30000  14.50000     0       NaN           525.A.a.json        525A     NaN        <NA>
          525.A.b    525 188.50000  14.50000     0       NaN           525.A.b.json       525Ab     NaN        <NA>
          525.B.a    525 189.30000   9.80000     0       NaN           525.B.a.json        525B     NaN        <NA>
          525.B.b    525 186.90000   9.90000     0       NaN           525.B.b.json       525Bb     NaN        <NA>
          525.C.a    525 184.50000   9.70000     0       NaN           525.C.a.json        525C     NaN        <NA>
          525.C.b    525 191.50000  12.20000     0       NaN           525.C.b.json       525Cb     NaN        <NA>
          525.D.a    525 183.24210  12.38668     0       NaN           525.D.a.json        525D     NaN        <NA>
          525.D.b    525 185.44210  12.38668     0       NaN           525.D.b.json       525Db     NaN        <NA>
          525.E.a    525 186.60000  12.30000     0       NaN           525.E.a.json        525E     NaN        <NA>
          525.E.b    525 189.00000  12.10000     0       NaN           525.E.b.json       525Eb     NaN        <NA>
          525.F.a    525 184.80000   6.10000     0       NaN           525.F.a.json        525F     NaN        <NA>
          525.F.b    525 187.80000   7.20000     0       NaN           525.F.b.json       525Fb     NaN        <NA>
    531.A.2021jvs    531 223.75141   6.69150     0   2021jvs     531.A.2021jvs.json     2021jvs     NaN        <NA>
          531.A.a    531 227.49601  10.19641     1       NaN           531.A.a.json        531A     NaN        <NA>
          531.B.a    531 227.49726  13.29522     0       NaN           531.B.a.json        531B     NaN        <NA>
          531.C.a    531 230.66234  10.19641     0       NaN           531.C.a.json        531C     NaN        <NA>
          531.D.a    531 230.66360  13.29522     0       NaN           531.D.a.json        531D     NaN        <NA>
          531.E.a    531 234.97517  10.17828     0       NaN           531.E.a.json        531E     NaN        <NA>
          531.F.a    531 233.82997  13.29522     0       NaN           531.F.a.json        531F     NaN        <NA>
          544.A.a    544 318.69489   9.54018     0       NaN           544.A.a.json        544A     NaN        <NA>
          544.B.a    544 318.54936  13.28592     0       NaN           544.B.a.json        544B     NaN        <NA>
          544.C.a    544 321.86122   9.54018     0       NaN           544.C.a.json        544C     NaN        <NA>
          544.D.a    544 321.71491  12.63665     0       NaN           544.D.a.json        544D     NaN        <NA>
          544.E.a    544 325.07478   9.53941     0       NaN           544.E.a.json        544E     NaN        <NA>
          544.F.a    544 324.88125  12.63665     0       NaN           544.F.a.json        544F     NaN        <NA>
          550.A.a    550 359.94312  17.39360     0       NaN           550.A.a.json        550A     NaN        <NA>
          550.B.a    550 359.94458  20.49234     0       NaN           550.B.a.json        550B     NaN        <NA>
          550.C.a    550   3.22075  17.39360     0       NaN           550.C.a.json        550C     NaN        <NA>
          550.D.a    550   3.22246  20.99213     0       NaN           550.D.a.json        550D     NaN        <NA>
          550.E.a    550   6.49841  17.39360     0       NaN           550.E.a.json        550E     NaN        <NA>
          550.F.a    550   6.49988  20.49234     0       NaN           550.F.a.json        550F     NaN        <NA>
          575.A.a    575 189.36417  22.53169     0       NaN           575.A.a.json        575A     NaN        <NA>
          575.B.a    575 178.48851  24.62962     0       NaN           575.B.a.json        575B     NaN        <NA>
577.A.21inl_21lxb    577 195.86873  28.67081     0 21inl_lxb 577.A.21inl_21lxb.json   21inl_lxb     NaN        <NA>
          577.A.a    577 196.18796  29.27652     1       NaN           577.A.a.json        577A     NaN        <NA>
          577.B.a    577 194.03777  21.38709     0       NaN           577.B.a.json        577B     NaN        <NA>
    583.2021kpu.a    583 231.09059  22.42031     0   2021kpu     583.2021kpu.a.json     2021kpu     NaN        <NA>
          583.A.a    583 236.40958  17.39360     0       NaN           583.A.a.json        583A     NaN        <NA>
          583.B.a    583 236.41104  20.49234     0       NaN           583.B.a.json        583B     NaN        <NA>
          583.C.a    583 239.68869  20.49236     0       NaN           583.C.a.json        583C     NaN        <NA>
          583.E.a    583 235.48149  13.91824     0       NaN         583.E_1.a.json        583E     NaN        <NA>
          583.F.a    583 245.38154  20.49617     0       NaN           583.F.a.json        583F     NaN        <NA>
          600.A.a    600 357.44515  24.59058     0       NaN           600.A.a.json        600A     NaN        <NA>
          600.B.a    600 359.24698  27.68917     0       NaN           600.B.a.json        600B     NaN        <NA>
          600.C.a    600   1.19827  23.99084     0       NaN           600.C.a.json        600C     NaN        <NA>
          600.D.a    600   2.70044  27.68917     0       NaN           600.D.a.json        600D     NaN        <NA>
          600.E.a    600   6.15211  24.59058     0       NaN           600.E.a.json        600E     NaN        <NA>
          600.F.a    600   6.15394  27.68917     0       NaN           600.F.a.json        600F     NaN        <NA>
    629.A.2021lat    629 220.38288  24.21769     0   2021lat     629.A.2021lat.json     2021lat     NaN        <NA>
          632.A.a    632 238.76469  24.59058     0       NaN           632.A.a.json        632A     NaN        <NA>
          632.B.a    632 238.76653  27.68917     0       NaN           632.B.a.json        632B     NaN        <NA>
          632.C.a    632 241.86431  25.74505     0       NaN           632.C.a.json        632C     NaN        <NA>
          632.D.a    632 242.21998  27.68917     0       NaN           632.D.a.json        632D     NaN        <NA>
          632.E.a    632 245.67165  24.59058     0       NaN           632.E.a.json        632E     NaN        <NA>
