name,order,json,program,propid,prio,dur,ra,dec,secz18_beg,secz18_end,secz2_beg,secz2_end,t_start,t_end,slew_s,secz_i,secz_f,coord,early_limit,late_limit,eff_prio,current_time,t_start_hidden,t_end_hidden,cumul_program_time
DESIRT'',33,DESIRT_G15_r,DESIRT,2025A-729671,0,25.2 min,217.7 deg,-0.9 deg,01:45,06:36,01:27,06:36,02:49,03:15,29,1.39,1.3,"<SkyCoord (ICRS): (ra, dec) in deg
    (217.7, -0.9)>",2025-03-08 04:27:37.084,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 05:49:21.173,2025-03-08 06:15:02.173,0
DESIRT'''',34,DESIRT_G15_z,DESIRT,2025A-729671,0,30.2 min,217.7 deg,-0.9 deg,01:45,06:36,01:27,06:36,03:15,03:45,29,1.3,1.22,"<SkyCoord (ICRS): (ra, dec) in deg
    (217.7, -0.9)>",2025-03-08 04:27:37.084,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 06:15:02.173,2025-03-08 06:45:43.173,0
2025bbe_P1,35,2025bbe_P1,DEBASS,2020B-0053,0,2.4 min,213.4 deg,4.0 deg,01:44,06:36,01:24,06:36,03:45,03:48,43,1.26,1.26,"<SkyCoord (ICRS): (ra, dec) in deg
    (213.4, 4.)>",2025-03-08 04:24:13.378,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 06:45:43.173,2025-03-08 06:48:50.511,0
2025byc_P1,36,2025byc_P1,DEBASS,2020B-0053,0,2.4 min,211.5 deg,6.7 deg,01:45,06:36,01:26,06:36,03:48,03:51,36,1.29,1.28,"<SkyCoord (ICRS): (ra, dec) in deg
    (211.5, 6.7)>",2025-03-08 04:26:29.182,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 06:48:50.511,2025-03-08 06:51:50.764,0
2025ayl_P1,37,2025ayl_P1,DEBASS,2020B-0053,0,2.4 min,205.7 deg,17.1 deg,02:14,06:27,01:46,06:36,03:51,03:55,55,1.49,1.49,"<SkyCoord (ICRS): (ra, dec) in deg
    (205.7, 17.1)>",2025-03-08 04:46:51.418,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 06:51:50.764,2025-03-08 06:55:09.819,0
2025bdc_P1,38,2025bdc_P1,DEBASS,2020B-0053,0,1.7 min,220.8 deg,12.8 deg,02:50,06:36,02:26,06:36,03:55,03:57,62,1.48,1.48,"<SkyCoord (ICRS): (ra, dec) in deg
    (220.8, 12.8)>",2025-03-08 05:26:27.987,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 06:55:09.819,2025-03-08 06:57:54.265,0
2025dhv_P1,39,2025dhv_P1,DEBASS,2020B-0053,0,1.0 min,225.5 deg,10.0 deg,02:55,06:36,02:34,06:36,03:57,03:59,40,1.46,1.46,"<SkyCoord (ICRS): (ra, dec) in deg
    (225.5, 10.)>",2025-03-08 05:34:23.301,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 06:57:54.265,2025-03-08 06:59:35.125,0
428.A.a,40,428,YSE,2024B-763968,0,17.6 min,228.1 deg,-1.5 deg,02:25,06:36,02:07,06:36,03:59,04:18,54,1.28,1.24,"<SkyCoord (ICRS): (ra, dec) in deg
    (228.1, -1.5)>",2025-03-08 05:07:13.653,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 06:59:35.125,2025-03-08 07:18:06.058,0
376.A.2021pfs,41,376,YSE,2024B-763968,0,17.8 min,222.2 deg,-9.1 deg,01:42,06:36,01:24,06:36,04:18,04:36,50,1.12,1.09,"<SkyCoord (ICRS): (ra, dec) in deg
    (222.2, -9.1)>",2025-03-08 04:24:13.378,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 07:18:06.058,2025-03-08 07:36:44.185,0
DEFSuS_N52,42,defsus_main,DEFSuS,2025A-697040,0,29.8 min,267.1 deg,-29.2 deg,04:02,06:36,03:44,06:36,04:36,05:08,131,1.52,1.35,"<SkyCoord (ICRS): (ra, dec) in deg
    (267.1, -29.2)>",2025-03-08 06:44:33.224,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 07:36:44.185,2025-03-08 08:08:43.599,0
