# Date  ID  RA  Dec  dt  airmass_best  airmass_ok  airmass_acceptable  jsonfilename
2021-04-28  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-04-28  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-05-02  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-05-02  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-05-02  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-05-02  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-05-02  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-05-05  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-05-05  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-05-05  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-05-05  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-05-05  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-05-08  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-05-08  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-05-08  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-05-08  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-05-08  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-05-11  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-05-11  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-05-11  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-05-11  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-05-11  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-05-14  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-05-14  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-05-14  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-05-14  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
